,Model,Weeks ahead,Location,LS,CRPS,CS
0,CMU-TimeSeries,1,AK,-7.891586615529393,12.442771835650865,0.2239999960362912
1,CMU-TimeSeries,1,AL,-6.389927077708992,83.08157660782364,0.29050000000000015
2,CMU-TimeSeries,1,AR,-4.144980921115794,65.32570159002202,0.38199999624490744
3,CMU-TimeSeries,1,AZ,-2.2953646293426786,63.75866907200109,0.18799999052286162
4,CMU-TimeSeries,1,CA,-2.4595850846636678,335.2288691121047,0.45399999940395364
5,CMU-TimeSeries,1,CO,-2.2421938234496235,16.514347660261535,0.24819999484419833
6,CMU-TimeSeries,1,CT,-4.409269707343809,25.956792461691283,0.26519999621510515
7,CMU-TimeSeries,1,DC,-6.319552483563238,13.489786700040735,0.34999999785423286
8,CMU-TimeSeries,1,DE,-5.151413824434553,9.327415537531396,0.23199999088048948
9,CMU-TimeSeries,1,FL,-3.432416959006372,112.51727948717766,0.25250000000000006
10,CMU-TimeSeries,1,GA,-4.412385519513407,26.323292653567112,0.18520000000000011
11,CMU-TimeSeries,1,IA,-3.284310380634318,20.52048155040457,0.09159999633431444
12,CMU-TimeSeries,1,ID,-8.537253288870094,29.736716001062938,0.33799999767541894
13,CMU-TimeSeries,1,IL,-3.425482195417583,120.89663709050589,0.3479999969303609
14,CMU-TimeSeries,1,IN,-3.4405252570465636,70.64134227427151,0.2799999954700471
15,CMU-TimeSeries,1,KS,-3.7240302280906397,24.87849604488495,0.27999999576807033
16,CMU-TimeSeries,1,KY,-5.303039110090986,74.92188338930983,0.34999999740719806
17,CMU-TimeSeries,1,LA,-6.544070209614704,59.44157752960851,0.44400000000000006
18,CMU-TimeSeries,1,MA,-3.221184780793995,29.41554945789859,0.12399999073147785
19,CMU-TimeSeries,1,MD,-4.445032803681729,42.506408743548235,0.18599999225139627
20,CMU-TimeSeries,1,ME,-5.335982870370739,6.413500139903346,0.19899999666214002
21,CMU-TimeSeries,1,MI,-2.2814850386099925,30.790297414807064,0.17559999478459368
22,CMU-TimeSeries,1,MN,-3.9657228749121445,47.33381351949627,0.387999998420477
23,CMU-TimeSeries,1,MO,-3.9662550131184515,86.16377521161688,0.30599999719858184
24,CMU-TimeSeries,1,MS,-4.110667383259367,39.66460796574031,0.3199999957680703
25,CMU-TimeSeries,1,MT,-5.940497639070718,7.606590112493928,0.20399999374151243
26,CMU-TimeSeries,1,NC,-5.469473599090729,48.97762448842791,0.14470000000000005
27,CMU-TimeSeries,1,ND,-4.7184936500839445,4.243495251920352,0.3031999973773957
28,CMU-TimeSeries,1,NE,-2.7992094609681817,7.698834159480201,0.3521999972879887
29,CMU-TimeSeries,1,NH,-3.265838154491553,1.4416157279076938,0.13019999263882645
30,CMU-TimeSeries,1,NJ,-3.4330706493197782,79.63883799345052,0.36799999812245376
31,CMU-TimeSeries,1,NM,-2.3551762465769466,17.59627481410513,0.29459999478459364
32,CMU-TimeSeries,1,NV,-1.5744216910658806,18.1842711308001,0.26799999439716354
33,CMU-TimeSeries,1,NY,-2.297693958435641,95.53329184321329,0.34799999707937246
34,CMU-TimeSeries,1,OH,-3.5311899515689236,74.7744257398904,0.19899999639391908
35,CMU-TimeSeries,1,OK,-4.374723379281853,67.76670154138135,0.46799999916553503
36,CMU-TimeSeries,1,OR,-6.554480451888438,59.41294251430382,0.26019999663233767
37,CMU-TimeSeries,1,PA,-2.4072424314824175,80.47567845474751,0.14799999290704738
38,CMU-TimeSeries,1,RI,-5.321756896382094,5.059927577697273,0.45999999949336057
39,CMU-TimeSeries,1,SC,-6.987123202294536,49.525284543349606,0.280666660308838
40,CMU-TimeSeries,1,SD,-3.33400526975246,8.212472732226942,0.35599999734759336
41,CMU-TimeSeries,1,TN,-2.617227994417094,32.30660361220267,0.2345000000000001
42,CMU-TimeSeries,1,TX,-4.898503783694639,116.91359878643567,0.1184666609048844
43,CMU-TimeSeries,1,US,-2.7347104670772047,2083.3008280439826,0.1331999932348729
44,CMU-TimeSeries,1,UT,-3.1956518347039746,7.231182951053219,0.3065999971985818
45,CMU-TimeSeries,1,VA,-6.868808123275947,88.59108295886263,0.35400000000000015
46,CMU-TimeSeries,1,VT,-3.9579328142442747,2.8468607664469934,0.35799999797344223
47,CMU-TimeSeries,1,WA,-3.186016650760016,71.70359464349397,0.3219999972879888
48,CMU-TimeSeries,1,WI,-3.8875440566063815,40.354063125885396,0.3185999974071981
49,CMU-TimeSeries,1,WV,-5.035707154167018,27.938409463033462,0.2551999949336053
50,CMU-TimeSeries,1,WY,-3.7307220745718284,8.444096907856979,0.22799999645352373
51,CMU-TimeSeries,2,AK,-5.371031026562679,13.576277430171992,0.38400000000000006
52,CMU-TimeSeries,2,AL,-8.025923145882183,209.44813626409632,0.387333330154419
53,CMU-TimeSeries,2,AR,-4.0221995446914995,47.75960187011066,0.1422000000000001
54,CMU-TimeSeries,2,AZ,-3.725352460680652,113.91976368648054,0.43400000000000005
55,CMU-TimeSeries,2,CA,-4.684418548271097,553.7531527022004,0.48900000000000005
56,CMU-TimeSeries,2,CO,-2.4683283700750684,22.208251873117213,0.27570000000000006
57,CMU-TimeSeries,2,CT,-3.706163864109377,30.5466526160658,0.2615000000000001
58,CMU-TimeSeries,2,DC,-6.9872520180339155,19.922533010104896,0.27900000000000014
59,CMU-TimeSeries,2,DE,-5.588818809581831,10.130810537628317,0.28900000000000015
60,CMU-TimeSeries,2,FL,-3.7699815764592817,74.69980117950533,0.12073333075046545
61,CMU-TimeSeries,2,GA,-6.809414611179473,100.92213300158781,0.44400000000000006
62,CMU-TimeSeries,2,IA,-4.024174356929233,23.54937894243807,0.12420000000000002
